Model,FPR,TPR,Threshold
mmarunet,0.7856,1.0,0.0003
mmarunet,0.8091,1.0,0.0003
mmarunet,0.8092,1.0,0.0003
mmarunet,0.8935,1.0,0.0002
mmarunet,0.8937,1.0,0.0002
mmarunet,0.8975,1.0,0.0002
mmarunet,0.8977,1.0,0.0002
mmarunet,0.9472,1.0,0.0001
mmarunet,0.9474,1.0,0.0001
mmarunet,1.0,1.0,0.0001
