Model,Precision,Recall,Threshold
unet,0.0066,1.0,0.0006
unet,0.0066,1.0,0.0006
unet,0.0066,1.0,0.0006
unet,0.0066,1.0,0.0006
unet,0.0066,1.0,0.0006
unet,0.0066,1.0,0.0006
unet,0.0066,1.0,0.0006
unet,0.0066,1.0,0.0006
unet,0.0066,1.0,0.0006
unet,0.0066,1.0,0.0006
unet,0.0066,1.0,0.0006
unet,0.0066,1.0,0.0006
unet,0.0066,1.0,0.0006
unet,0.0066,1.0,0.0006
unet,0.0066,1.0,0.0006
unet,0.0066,1.0,0.0006
unet,0.0066,1.0,0.0006
unet,0.0066,1.0,0.0006
unet,0.0066,1.0,0.0006
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0066,1.0,0.0007
unet,0.0067,1.0,0.0007
unet,0.0067,1.0,0.0007
unet,0.0067,1.0,0.0007
unet,0.0067,1.0,0.0007
unet,0.0067,1.0,0.0007
unet,0.0067,1.0,0.0007
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0008
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.0009
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.001
unet,0.0067,1.0,0.0011
unet,0.0067,1.0,0.0011
unet,0.0067,1.0,0.0011
unet,0.0067,1.0,0.0011
unet,0.0067,1.0,0.0011
unet,0.0067,1.0,0.0011
unet,0.0067,1.0,0.0011
unet,0.0067,1.0,0.0011
unet,0.0067,1.0,0.0011
unet,0.0067,1.0,0.0011
unet,0.0067,1.0,0.0011
unet,0.0067,1.0,0.0011
unet,0.0067,1.0,0.0011
unet,0.0067,1.0,0.0011
unet,0.0067,1.0,0.0011
unet,0.0067,1.0,0.0011
unet,0.0067,1.0,0.0011
unet,0.0067,1.0,0.0011
unet,0.0067,1.0,0.0011
unet,0.0067,1.0,0.0011
unet,0.0067,1.0,0.0011
unet,0.0067,1.0,0.0011
unet,0.0067,1.0,0.0011
unet,0.0067,1.0,0.0011
unet,0.0067,1.0,0.0011
unet,0.0067,1.0,0.0011
unet,0.0067,1.0,0.0011
unet,0.0067,1.0,0.0011
unet,0.0067,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0011
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
unet,0.0068,1.0,0.0012
